Modelo;Cambio de Pantalla;Codigo QFR01;Costo;Precio Final;Lista Mayorista 1;CMV;Cambio de Placa Principal;Código QMP0;Costo;Precio Final;Lista Mayorista 1;Margen;Cambio de Baterí;Código QBA0;Costo;Precio Final;Lista Mayorista 1;Margen;Reparacion de Cámara Principa;Códig;Costo;Precio Final;Lista Mayorista 1;Margen;Cambio de Tapa;Código QBC0;Costo;Precio Final;Lista Mayorista 1;Margen;Sub Placa;Código QIF01/QME0;Costo;Precio Final;Lista Mayorista 1;Margen;Pegamento;Código QRT0;Costo;Precio Final;Speaker;Código QSP0;Costo;Precio Final;Lista Mayorista 1;Margen;Bateria QBA02;Código ;Costo;Precio Final;Pegamento;Código QRT0;Costo;Precio Final;Tapa QFR02 QLC01;Código ;Costo;Precio Final;Lista Mayorista 1;Lista Mayorista 2;Pantalla;Código QFR0;Costo;Precio Final;Lista Mayorista 1;Lista Mayorista 2;IMAGEN
Galaxy S9 Plus SM-G9650; $390.907,00;GH97-21721A;176,39; $185.358,82; $351.816,30;48,41%; $270.300,00;GH82-16059A;183,73; $193.067,59; $243.270,00;72,91%; $46.061,42;"	GH82-15960A";21,48; $22.568,06; $41.455,28;50,02%; $162.200,00;GH96-11454A;77,19; $81.112,25; $145.980,00;51,05%; $0,00;GH82-16048A;0,00; $0,00; $0,00;#¡DIV/0; $29.800,00;"	GH97-21704A";18,93; $19.890,51; $26.820,00;68,14%; $9.700,00;GH82-15966A;9,25; $9.720,37; $28.700,00;GH96-11627A;13,65; $14.344,11; $25.830,00;51,02%;;;;;;;;;;;;;;;;;; ;;;https://desweetphones.com/wp-content/uploads/2018/10/2-1-e1540254365714-600x600.jpg
Galaxy Tab A 10; $182.076,74;GH81-19690A;83,43; $87.672,02; $163.869,07;49,15%; $147.200,00;GH81-19685A;100,08; $105.168,16; $132.480,00;72,93%; $54.885,23;GH81-19691A;25,59; $26.891,34; $49.396,70;50,02%; $8.600,00;GH81-19644A;4,07; $4.276,75; $7.740,00;50,77%; $32.500,00;GH81-19744A;20,64; $21.685,40; $29.250,00;68,11%; $16.900,00;"GH81-19632A	";7,65; $8.040,68; $15.210,00;48,57%; $400,00;GH81-19671A GH81-19673A GH81-19675A GH81-19677A                     ;0,38; $399,32; $1.500,00;GH81-19645A;0,69; $725,09; $1.350,00;49,35%;;;;;;;;;;;;;;;;;;;;;
Galaxy Tab A 10.1 SM-T510N; $193.794,00;GH82-19563A;92,40; $97.094,07; $174.414,60;51,15%; $76.100,00;GH82-19671A;51,75; $54.376,46; $68.490,00;72,94%; $46.842,12;GH43-04936A;21,84; $22.950,57; $42.157,91;50,02%; $10.900,00;"	GH96-12410A";5,21; $5.469,68; $9.810,00;51,23%; $55.800,00;GH81-11962M;35,41; $37.213,11; $50.220,00;68,08%; $10.200,00;GH82-19562A;4,64; $4.871,64; $9.180,00;48,76%; $2.600,00;GH82-19579A;2,51; $2.637,63; $1.400,00;GH96-12497A;0,67; $704,07; $1.260,00;51,34%;;;;;;;;;;;;;;;;;;;;;
Galaxy Tab A 10.5 SM-T590N; $217.979,00;GH97-22197A;76,11; $79.979,50; $196.181,10;37,46%; $110.300,00;"GH82-20018A	";74,97; $78.782,25; $99.270,00;72,91%; $33.093,40;GH43-04840A;15,43; $16.214,31; $29.784,06;50,02%; $14.800,00;"GH96-10378A	";7,04; $7.392,73; $13.320,00;50,99%; $14.500,00;GH82-17569A;9,19; $9.658,17; $13.050,00;68,00%; $8.000,00;GH82-17350A;3,64; $3.826,55; $7.200,00;48,83%; $400,00;"GH02-16254A	";0,35; $367,80; $900,00;GH96-11756A    ;0,42; $441,36; $810,00;50,06%;;;;;;;;;;;;;;;;;;;;;
"Galaxy Tab A 8"" SM-T290N"; $138.026,00;GH81-17227A;64,59; $67.878,97; $124.223,40;50,20%; $72.800,00;GH81-17187A;49,48; $51.993,32; $65.520,00;72,91%; $25.145,04;"GH81-17145A	";11,72; $12.319,96; $22.630,53;50,02%; $19.500,00;GH81-17124A;9,28; $9.751,47; $17.550,00;51,05%; $13.800,00;GH81-17297A;8,75; $9.191,60; $12.420,00;67,99%; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0; $0,00;-;0,00; $0,00; $7.000,00;GH81-17230A;3,32; $3.488,82; $6.300,00;50,88%;;;;;;;;;;;;;;;;;;;;;
"Galaxy Tab A Plus 8"" SM-P205N"; $188.509,00;GH96-12404A;52,68; $55.353,82; $169.658,10;29,98%; $90.400,00;GH82-19317A;61,47; $64.592,41; $81.360,00;72,94%; $33.860,16;GH43-04428B;15,79; $16.589,99; $30.474,14;50,02%; $10.900,00;GH96-12410A;5,21; $5.469,68; $9.810,00;51,23%; $13.000,00;GH98-44012A;8,23; $8.647,26; $11.700,00;67,90%; $4.900,00;GH82-19318A;2,20; $2.311,44; $4.410,00;48,15%; $300,00;"GH82-19319A	";0,29; $304,75; $2.000,00;GH96-12411A;0,94; $987,80; $1.800,00;50,42%;;;;;;;;;;;;;;;;;;;;;
"Galaxy Tab Active 2 8"" SM-T395N"; $206.832,00;;0,00; $0,00; $186.148,80;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Tab S4 10;#N/D;;0,00; $0,00;#N/D;#N/D; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Tab S5e SM-T720N; $255.060,30;;0,00; $0,00; $229.554,27;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Watch Active SM-R500N; $103.638,70;;0,00; $0,00; $93.274,83;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Watch Active2 (40mm;#N/D;;0,00; $0,00;#N/D;#N/D; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Watch Active2 (44mm) SM-R820; $136.494,60;;0,00; $0,00; $122.845,14;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Watch Active2 (44mm) SM-R820N; $139.004,80;;0,00; $0,00; $125.104,32;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Watch R800 SM-R800N; $137.469,20;;0,00; $0,00; $123.722,28;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Watch R810 SM-R810N; $130.798,80;;0,00; $0,00; $117.718,92;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;;;;;
Galaxy Z Flip SM-F700F; $1.002.200,00;GH82-22215A;524,62; $551.296,95; $901.980,00;56,15%; $339.000,00;GH82-22206A;230,45; $242.163,85; $305.100,00;72,92%; $45.160,61;GH82-23868A;21,06; $22.126,71; $40.644,55;50,02%; $98.000,00;GH96-13037A;46,63; $49.003,94; $88.200,00;51,05%; $40.800,00;GH82-22335A;25,89; $27.211,01; $36.720,00;68,08%; $22.400,00;GH96-13071A;10,16; $10.678,34; $20.160,00;48,66%; $1.600,00;GH02-20435A;1,51; $1.586,78; $13.300,00;GH96-13291A;6,34; $6.662,39; $11.970,00;51,14%;VIENEN LAS 2 JUNTAS;;;; $1.000,00;GH02-20437A;0,99; $1.040,34; $125.300,00;GH96-13380A;59,60; $62.630,68; $112.770,00; $100.240,00;;;; ;;;https://www.manual.ar/thumbs/products/l/1260231-samsung-galaxy-z-flip-5g.jpg
Galaxy Z Flip 3 SM-F711; $531.658,00;GH82-27243A;256,90; $269.962,69; $478.492,20;51,83%; $362.500,00;GH82-26272A;246,39; $258.917,14; $326.250,00;72,91%; $24.017,74;GH82-26270A;11,20; $11.767,63; $21.615,96;50,02%; $41.500,00;GH96-14429A;19,77; $20.773,21; $37.350,00;51,10%; $12.200,00;GH82-26251A;7,71; $8.102,90; $10.980,00;67,80%; $21.600,00;GH96-14630A;9,77; $10.264,08; $19.440,00;48,51%; $4.100,00;GH82-26257A;3,87; $4.066,79; $18.600,00;GH96-14455A;8,85; $9.300,03; $16.740,00;51,04%;BONIFICADO;GH82-26271A;15,27; $16.046,49; $3.500,00;GH82-26258A;3,35; $3.520,35; $83.800,00;GH97-26773A;39,85; $41.876,39; $75.420,00; $67.040,00;;;; ;;;https://d3ugyf2ht6aenh.cloudfront.net/stores/001/218/669/products/samsung-galaxy-z-flip-3-cream_0001_71f2i8cltbl-_sx679_1-a7950aa3d785d282f716542023996304-640-0.png
Galaxy Z Flip4 SM-F721B; $628.252,00;GH82-30238A;386,70; $406.363,85; $565.426,80;66,03%; $586.700,00;GH82-29472A;398,80; $419.081,29; $528.030,00;72,92%; $41.407,23;GH82-29433A;19,31; $20.287,72; $37.266,51;50,02%; $70.600,00;GH96-15321A;33,58; $35.287,24; $63.540,00;51,02%; $24.100,00;GH82-29219A;15,29; $16.064,07; $21.690,00;68,04%; $47.200,00;GH96-15289A;21,41; $22.494,51; $42.480,00;48,65%; $3.800,00;GH82-29627A;3,58; $3.762,04; $20.200,00;GH96-15301A;9,62; $10.109,18; $18.180,00;51,09%;BONIFICADO;GH82-29434A;21,59; $22.687,86; $3.100,00;GH82-29628A;2,91; $3.057,97; $97.700,00;GH97-27947A;46,50; $48.864,54; $87.930,00; $78.160,00;;;; ;;;https://garbarinoar.vtexassets.com/arquivos/ids/209739-800-auto?v=638127626772530000&width=800&height=auto&aspect=true
Galaxy Z Fold 3 SM-F926; $885.746,00;GH82-26283A;480,66; $505.105,75; $797.171,40;58,21%; $459.400,00;GH82-26282A;312,23; $328.110,80; $413.460,00;72,91%; $28.233,85;GH82-26236A;13,16; $13.833,34; $25.410,47;50,02%; $74.000,00;GH96-14442A;35,22; $37.014,79; $66.600,00;51,06%; $64.200,00;GH97-26854A;40,72; $42.786,04; $57.780,00;68,03%; $69.600,00;GH96-14519A;31,52; $33.120,78; $62.640,00;48,58%; $5.100,00;GH82-26476A;4,87; $5.117,64; $8.700,00;GH96-14485A;4,16; $4.371,54; $7.830,00;51,29%;BONIFICADO;GH82-26237A;17,27; $18.148,19; $6.700,00;GH82-26477A;6,39; $6.714,93;;;;; $0,00; $0,00; $222.200,00;GH82-26238A;105,74; $111.116,92; $199.980,00; $177.760,00;https://m.media-amazon.com/images/I/71XyQ38IoPL.__AC_SX300_SY300_QL70_ML2_.jpg
Galaxy Z Fold4 SM-F936B; $1.039.935,00;GH82-29461A;573,88; $603.063,77; $935.941,50;59,20%; $613.300,00;GH82-29511A;416,90; $438.097,69; $551.970,00;72,92%; $55.685,82;GH82-29450A;25,96; $27.283,60; $50.117,24;50,02%; $97.700,00;GH96-15297A;46,50; $48.868,90; $87.930,00;51,06%; $36.500,00;GH82-29710A;23,14; $24.318,84; $32.850,00;68,01%; $49.300,00;GH96-15388A;22,34; $23.480,21; $44.370,00;48,62%; $5.100,00;GH82-29454A;4,84; $5.086,12; $23.500,00;GH96-15324A;11,20; $11.769,52; $21.150,00;51,13%;BONIFICADO;GH82-29451A;20,64; $21.689,55; $4.700,00;GH82-29456A;4,47; $4.697,30;;;;; $0,00; $0,00; $168.400,00;GH96-15279A;80,13; $84.204,64; $151.560,00; $134.720,00;https://www.oscarbarbieri.com/pub/media/catalog/product/cache/7baadf0dec41407c7702efdbff940ecb/9/7/974c34132536e73677d2273ddb68.jpg
M13 SM-M135M; $127.179,00;GH82-29132A;48,99; $51.475,95; $114.461,10;41,32%; $120.600,00;GH82-29309A;82,00; $86.171,52; $108.540,00;72,94%; $57.850,39;GH82-29136A;26,97; $28.344,14; $52.065,35;50,02%; $41.800,00;GH96-14892A;19,89; $20.905,62; $37.620,00;51,05%; $20.400,00;GH82-29445C;12,96; $13.620,78; $18.360,00;68,16%; $25.500,00;GH96-15262A;11,56; $12.151,22; $22.950,00;48,64%; $0,00;-;0,00; $0,00; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://images.start.com.ar/SM-M135MLBGARO-4.jpg
M23 5G SM-M236B; $128.890,00;GH82-28487A;50,01; $52.550,58; $116.001,00;41,62%; $235.000,00;GH82-28486A;159,73; $167.850,65; $211.500,00;72,91%; $47.802,98;GH82-28490A;22,29; $23.421,35; $43.022,68;50,02%; $41.800,00;GH96-14892A;19,89; $20.905,62; $37.620,00;51,05%; $25.000,00;GH97-27305A;15,86; $16.665,16; $22.500,00;68,05%; $22.100,00;GH96-15065A;10,00; $10.509,57; $19.890,00;48,54%; $2.200,00;GH81-22240A;2,09; $2.196,28; $7.500,00;3001-002865;3,57; $3.751,54; $6.750,00;51,06%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://www.fussetti.com/2786-large_default/telefono-celular-samsung-m23.jpg
S20 FE 5G SM-G781B; $181.190,00;"	GH82-24214A";91,34; $95.987,80; $163.071,00;54,08%; $533.900,00;GH82-24213A;362,90; $381.350,41; $480.510,00;72,91%; $50.259,57;GH82-24205A;23,43; $24.624,97; $45.233,61;50,02%; $85.700,00;GH96-13893A;40,79; $42.868,39; $77.130,00;51,06%; $35.900,00;GH82-28449A;22,79; $23.951,02; $32.310,00;68,11%; $22.100,00;GH96-13848A;10,03; $10.540,23; $19.890,00;48,69%; $1.000,00;GH81-19848A;0,99; $1.040,34; $16.800,00;GH96-13879A;7,98; $8.385,79; $15.120,00;50,95%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://www.electromisiones.com.ar/22016-medium_default/celular_samsung_galaxy_s20fe_5g_6gb_ram_128gb_azul.jpg
S22+ - 256Gb SM-S906E; $327.018,00;"	GH82-27500A";139,77; $146.872,80; $294.316,20;45,85%; $419.800,00;GH82-27829A;285,37; $299.881,39; $377.820,00;72,92%; $50.891,46;GH82-27502A;28,49; $29.936,15; $45.802,31;60,05%; $102.400,00;GH96-14765A;54,15; $56.904,39; $92.160,00;56,73%; $34.600,00;GH82-27403A;21,98; $23.097,74; $31.140,00;68,15%; $35.900,00;GH96-14925A;16,26; $17.085,92; $32.310,00;48,58%; $7.500,00;GH82-27503A;7,12; $7.482,05; $32.400,00;GH96-14832A;15,42; $16.204,11; $29.160,00;51,05%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://www.dateks.lv/images/pic/2400/2400/575/1163.jpg
Samsung A21s SM-A217M; $79.899,00;GH82-22988A;44,59; $46.856,94; $71.909,10;59,87%; $78.200,00;GH82-23031A;53,17; $55.874,98; $70.380,00;72,94%; $31.651,89;GH82-22989A;14,76; $15.508,03; $28.486,70;50,02%; $59.900,00;GH96-13477A;28,50; $29.950,50; $53.910,00;51,04%; $23.700,00;"	GH97-24942A";15,03; $15.793,59; $21.330,00;68,03%; $20.100,00;GH96-13452A;9,09; $9.549,28; $18.090,00;48,50%; $2.200,00;GH81-18831A;2,10; $2.206,79; $9.000,00;3001-002856;4,26; $4.476,62; $8.100,00;50,78%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://idgroup.com.ar/5450-large_default/samsung-a21s-sm-a217mzkearo.jpg
Samsung A32 SM-A325M; $123.863,00;GH82-25566A;57,00; $59.901,49; $111.476,70;49,37%; $132.900,00;GH82-25568A;90,36; $94.957,78; $119.610,00;72,94%; $47.953,12;GH82-25567A;22,36; $23.494,91; $43.157,81;50,02%; $39.400,00;GH96-14252A;18,76; $19.717,00; $35.460,00;51,09%; $20.700,00;GH82-25552A;13,11; $13.772,64; $18.630,00;67,92%; $19.300,00;GH96-14244A;8,73; $9.176,02; $17.370,00;48,53%; $2.000,00;GH81-20314A;1,90; $1.996,62; $7.500,00;3001-002865;3,57; $3.751,54; $6.750,00;51,06%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://www.heavenimagenes.com/heavencommerce/7a1fcd03-6179-4c60-bec2-35692a1ae7ae/images/v2/SAMSUNG/5103_medium.jpg
Samsung A52 SM-A525M; $152.657,00;GH82-25524A;63,66; $66.900,61; $137.391,30;44,74%; $175.300,00;GH82-25525A;119,12; $125.182,03; $157.770,00;72,90%; $49.725,84;GH82-25231A;23,18; $24.363,47; $44.753,25;50,02%; $56.200,00;GH96-14157A;35,68; $37.496,23; $50.580,00;68,11%; $29.500,00;GH98-46318A;18,72; $19.669,86; $26.550,00;68,07%; $26.900,00;GH96-14374A;14,22; $14.941,87; $24.210,00;56,70%; $2.700,00;GH02-22419A;2,60; $2.732,21; $15.700,00;GH96-14117A;7,49; $7.870,87; $14.130,00;51,18%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://exitocol.vtexassets.com/arquivos/ids/14994429/Galaxy-A52-128GB-Negro-SAMSUNG-SM-A525MZKGLTC-3023606_a.jpg?v=638006006739100000
Samsung A72 SM-A725M; $159.918,00;GH82-25460A;74,05; $77.816,86; $143.926,20;49,67%; $133.500,00;GH82-25462A;90,76; $95.377,39; $120.150,00;72,93%; $46.301,63;GH82-25461A;21,59; $22.685,76; $41.671,47;50,02%; $63.700,00;GH96-14157A;35,68; $37.496,23; $57.330,00;60,09%; $26.700,00;GH98-46253A;16,92; $17.783,99; $24.030,00;67,99%; $20.600,00;"	GH96-14128A";9,32; $9.798,13; $18.540,00;48,55%; $2.900,00;GH02-22496A;2,73; $2.868,82; $13.300,00;GH96-14149A;6,32; $6.641,37; $11.970,00;50,98%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://m.media-amazon.com/images/I/41B8D5ggxIL.jpg
Tab A8 SM-X200; $182.407,00;GH81-21915A;90,02; $94.601,87; $164.166,30;52,94%; $119.700,00;GH81-21940A;81,34; $85.472,18; $107.730,00;72,89%; $49.004,06;"GH81-21920A	";22,85; $24.009,83; $44.103,66;50,02%; $20.300,00;GH81-21982A;9,68; $10.171,39; $18.270,00;51,15%; $38.500,00;GH81-22190A;24,43; $25.671,05; $34.650,00;68,07%; $19.300,00;GH81-21943A;8,73; $9.176,02; $17.370,00;48,53%; $2.100,00;"GH81-21983A	";2,03; $2.133,23; $11.100,00;GH81-21975A;5,28; $5.548,49; $9.990,00;51,03%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Tab S6 Lite SM-P613; $237.038,00;"GH82-29084A	";119,38; $125.449,16; $213.334,20;54,03%; $168.900,00;GH82-29113A;114,83; $120.668,10; $152.010,00;72,93%; $45.340,77;GH82-20770A;21,14; $22.214,98; $40.806,69;50,02%; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0; $58.500,00;GH82-22774B;37,12; $39.007,95; $52.650,00;68,07%; $24.500,00;GH82-29115A;11,11; $11.675,60; $22.050,00;48,65%; $2.600,00;GH81-17520A;2,43; $2.553,57; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Tab S8 SM-X700; $278.152,00;GH82-27901A;138,79; $145.847,36; $250.336,80;53,53%; $357.700,00;GH82-27933A;243,16; $255.526,88; $321.930,00;72,92%; $66.632,91;GH82-27902A;31,07; $32.647,19; $59.969,62;50,02%; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0; $109.900,00;GH82-27822D;69,70; $73.247,05; $98.910,00;68,04%; $21.100,00;GH82-27934A;9,56; $10.046,97; $18.990,00;48,61%; $0,00;-;0,00; $0,00; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Tab S8 Ultra Wifi SM-X900; $703.881,00;GH82-27840A;380,82; $400.182,22; $633.492,90;58,04%; $403.500,00;"GH82-28015A	";274,25; $288.196,77; $363.150,00;72,91%; $65.783,90;GH82-27843A;30,67; $32.231,21; $59.205,51;50,02%; $41.700,00;GH96-14972A;19,85; $20.861,48; $37.530,00;51,07%; $126.100,00;"GH82-27994A	";79,99; $84.060,32; $113.490,00;68,05%; $35.600,00;GH82-27845A;16,12; $16.935,65; $32.040,00;48,56%; $13.800,00;GH82-27849A;13,15; $13.818,68; $29.300,00;"GH96-14907A	";13,94; $14.648,85; $26.370,00;51,04%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Tab S8+ SM-X800; $460.321,00;GH82-27887A;243,78; $256.174,03; $414.288,90;56,81%; $360.700,00;"GH82-27893A	";245,20; $257.671,25; $324.630,00;72,92%; $52.779,96;GH82-27888A;24,61; $25.859,85; $47.501,96;50,02%; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0; $113.200,00;GH82-27813C;71,81; $75.461,18; $101.880,00;68,05%; $39.700,00;"GH82-27894A	";17,98; $18.899,21; $35.730,00;48,60%; $0,00;-;0,00; $0,00; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Watch5 40mm SM-R900; $81.281,20;;0,00; $0,00; $73.153,08;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00;0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;0,00;0,00;;;0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Watch5 44mm SM-R910; $81.911,50;;0,00; $0,00; $73.720,35;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00;0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;0,00;0,00;;;0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Watch5 Pro 45mm SM-R920; $139.955,20;;0,00; $0,00; $125.959,68;0,00%; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00;0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;0,00; $0,00; $0,00;#¡DIV/0; $0,00;;; $0,00; $0,00;;; $0,00; $0,00;#¡DIV/0;;;;0,00;0,00;;;0,00;;;;; $0,00; $0,00;;;;; $0,00; $0,00;
Galaxy A01 Core SM-A013M; $73.000,00;GH82-23392A;34,81; $36.580,10; $65.700,00;51,15%; $50.200,00;GH82-23393A;34,12; $35.853,65; $45.180,00;72,91%; $15.957,21;GH43-05038A;7,44; $7.818,33; $14.361,48;50,02%; $12.800,00;GH96-13876A;6,09; $6.399,68; $11.520,00;51,04%; $7.600,00;GH98-45611A;4,80; $5.048,51; $6.840,00;67,81%; $0,00;EN PLACA;0,00; $0,00; $0,00;#¡DIV/0; $0,00;-;0,00; $0,00; $7.300,00;3001-002824;3,49; $3.667,47; $6.570,00;51,29%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://cdn1.hendyla.com/archivos/imagenes/2021/05/10/37a6259cc0c1dae299a7866489dff0bdTNcGP2AlfuHDa01corerojo16gb-480_A.jpg
Galaxy A12 SM-A127M; $93.032,71;GH82-26925A;44,87; $47.154,01; $83.729,44;51,74%; $69.500,00;GH82-26493A;47,26; $49.658,33; $62.550,00;72,94%; $31.651,89;GH82-22989A;14,76; $15.508,03; $28.486,70;50,02%; $28.700,00;GH96-14179A;14,37; $15.102,30; $25.830,00;53,72%; $13.600,00;GH82-26230A;8,63; $9.067,17; $12.240,00;68,06%; $9.100,00;GH96-14636A;2,71; $2.845,82; $8.190,00;31,92%; $0,00;-;0,00; $0,00; $9.000,00;3001-002856;4,26; $4.476,62; $8.100,00;50,78%;;;; $0,00; $0,00;;; $0,00;;;;; $0,00; $0,00;;;; ; $0,00; $0,00;https://aremsaprod.vteximg.com.br/arquivos/ids/158597-1000-1000/143743_01.jpg?v=637728046245030000
