Modelo;Cambio de Pantalla;Codigo QFR01;Costo;Precio Final;Lista Mayorista 1;CMV;Cambio de Placa Principal;Código QMP0;Costo;Precio Final;Lista Mayorista 1;Margen;Cambio de Baterí;Código QBA0;Costo;Precio Final;Lista Mayorista 1;Margen;Reparacion de Cámara Principa;Códig;Costo;Precio Final;Lista Mayorista 1;Margen;Cambio de Tapa;Código QBC0;Costo;Precio Final;Lista Mayorista 1;Margen;Sub Placa;Código QIF01/QME0;Costo;Precio Final;Lista Mayorista 1;Margen;Pegamento;Código QRT0;Costo;Precio Final;Speaker;Código QSP0;Costo;Precio Final;Lista Mayorista 1;Margen;Bateria QBA02;Código ;Costo;Precio Final;Pegamento;Código QRT0;Costo;Precio Final;Tapa QFR02 QLC01;Código ;Costo;Precio Final;Lista Mayorista 1;Lista Mayorista 2;Pantalla;Código QFR0;Costo;Precio Final;Lista Mayorista 1;Lista Mayorista 2;IMAGEN
Galaxy A30S SM-A307G; $131.593,00;GH82-21189A;57,44; $60.357,54; $118.433,70;46,82%; $95.900,00;GH82-21186A;65,18; $68.496,79; $86.310,00;72,91%; $46.121,47;"GH82-21183A	";21,50; $22.597,49; $41.509,32;50,02%; $78.200,00;GH96-12913A;37,20; $39.091,74; $70.380,00;51,03%; $13.400,00;"GH82-21168A	";8,50; $8.927,19; $12.060,00;68,01%; $21.600,00;GH96-12857A;9,77; $10.264,71; $19.440,00;48,51%; $0,00;-;0,00; $0,00; $9.000,00;"	3001-002856";4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://www.allsolution.ar/datos/uploads/mod_catalogo/28436/samsung-a30s1-2ac747def6cb61112915797927731013-640-0-63a611d8b3f03_thumbnail.png?t=1671827929
Galaxy A31  SM-A315G; $136.620,00;GH82-22761A;59,97; $63.015,79; $122.958,00;47,09%; $152.100,00;"GH82-22833A	";103,42; $108.677,58; $136.890,00;72,94%; $47.442,66;GH82-22762A;22,12; $23.244,81; $42.698,39;50,02%; $46.800,00;GH96-13446A;29,70; $31.212,78; $42.120,00;68,08%; $21.000,00;GH97-24724A;13,31; $13.985,22; $18.900,00;67,98%; $21.700,00;GH59-15266A;9,81; $10.310,12; $19.530,00;48,50%; $2.400,00;GH81-18730A;2,25; $2.364,41; $9.000,00;"	3001-002856";4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://d2r9epyceweg5n.cloudfront.net/stores/001/150/952/products/a311-6f945b2a5bc62e228d16329520436368-640-0.jpg
Galaxy A33 SM-A336; $165.630,00;GH82-28143A;71,03; $74.637,26; $149.067,00;46,00%; $242.900,00;"	GH82-28404A	";165,10; $173.494,03; $218.610,00;72,91%; $52.364,83;GH82-28146A;24,41; $25.656,46; $47.128,35;50,02%; $57.300,00;GH96-14454A;28,71; $30.165,66; $51.570,00;53,74%; $20.000,00;GH82-28169A;12,69; $13.332,28; $18.000,00;68,05%; $32.100,00;GH96-15022A;15,27; $16.049,04; $28.890,00;51,04%; $2.800,00;GH81-22141A;2,64; $2.774,25; $8.100,00;"	3001-002870";3,86; $4.056,28; $7.290,00;51,12%;;;;;;;;;;;;;;;;;; ;;;https://asset.conrad.com/media10/isa/160267/c1/-/en/002568516PI00/image.jpg
Galaxy A34 5G SM-A346M; $154.044,00;GH82-31200A;62,23; $65.394,48; $138.639,60;43,34%; $226.400,00;"	GH82-31337A";153,87; $161.691,20; $203.760,00;72,91%; $45.791,17;GH82-31469A;21,35; $22.435,66; $41.212,06;50,02%; $60.300,00;GH96-14454A;28,71; $30.165,66; $54.270,00;51,07%; $21.400,00;"GH82-30454A	";13,58; $14.273,74; $19.260,00;68,09%; $24.900,00;"	GH96-15817A";11,27; $11.844,37; $22.410,00;48,56%; $6.300,00;GH82-31515A;5,99; $6.294,59; $8.100,00;3001-002870;3,86; $4.056,28; $7.290,00;51,12%;;;;;;;;;;;;;;;;;; ;;;https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/s/m/sm-a346mzkbltp_3_1.jpg
Galaxy A50 SM-A505G; $139.791,00;GH82-19289A;61,68; $64.814,00; $125.811,90;47,33%; $118.200,00;GH82-20634A;80,32; $84.407,72; $106.380,00;72,90%; $42.878,56;GH82-19269A;19,99; $21.008,60; $38.590,70;50,02%; $69.500,00;GH96-12415A;33,05; $34.734,99; $62.550,00;51,02%; $13.100,00;"GH82-19237A	";8,33; $8.756,11; $11.790,00;68,23%; $22.600,00;GH96-12460A;10,23; $10.755,05; $20.340,00;48,58%; $3.500,00;"	GH81-16711A";3,35; $3.520,35; $9.000,00;3001-002856;4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://beemyphone.fr/wp-content/uploads/2021/12/samsung-galaxy-a50-double-sim-128-go-blanc.jpg
Galaxy A51 SM-A515F; $173.756,00;GH82-22083A;78,23; $82.206,54; $156.380,40;48,30%; $168.400,00;GH82-21678A;114,49; $120.312,07; $151.560,00;72,93%; $50.437,48;GH82-21668A;23,52; $24.712,14; $45.393,73;50,02%; $92.300,00;GH96-13020A;43,93; $46.168,22; $83.070,00;51,06%; $15.700,00;GH82-21694B;9,97; $10.478,89; $14.130,00;68,13%; $23.200,00;"	GH96-12992A";10,51; $11.046,55; $20.880,00;48,61%; $0,00;-;0,00; $0,00; $8.200,00;"	3001-002860";3,89; $4.087,81; $7.380,00;50,89%;;;;;;;;;;;;;;;;;; ;;;https://http2.mlstatic.com/D_NQ_NP_904996-MLA53603282738_022023-O.jpg
Galaxy A53 SM-A536; $185.936,00;GH82-28024A;81,99; $86.158,89; $167.342,40;47,30%; $283.300,00;GH82-28416A;192,56; $202.350,28; $254.970,00;72,91%; $53.284,04;GH82-28027A;24,84; $26.106,83; $47.955,63;50,02%; $67.300,00;"GH96-15001A	";32,04; $33.672,98; $60.570,00;51,08%; $29.000,00;"	GH98-47465A";18,40; $19.330,44; $26.100,00;68,04%; $39.200,00;GH59-15556A;17,74; $18.646,44; $35.280,00;48,56%; $3.100,00;GH02-23641A;2,91; $3.057,97; $13.700,00;GH96-15037A;6,54; $6.872,56; $12.330,00;51,21%;;;;;;;;;;;;;;;;;; ;;;https://http2.mlstatic.com/D_NQ_NP_807684-MLA49653661677_042022-O.jpg
Galaxy A54 5G SM-A546E; $151.179,00;GH82-31231A;63,44; $66.668,93; $136.061,10;45,02%; $241.800,00;GH82-31325A;164,33; $172.682,57; $217.620,00;72,90%; $54.736,97;GH82-31204A;25,52; $26.818,70; $49.263,27;50,02%; $61.300,00;GH96-15774A;29,16; $30.639,01; $55.170,00;51,02%; $21.900,00;"GH82-30687A	";13,87; $14.577,43; $19.710,00;67,95%; $27.900,00;GH96-15666A;12,64; $13.286,70; $25.110,00;48,61%; $5.900,00;"GH82-31516A	";5,57; $5.853,24; $9.500,00;"	GH96-15803A";4,52; $4.749,84; $8.550,00;51,04%;;;;;;;;;;;;;;;;;; ;;;https://m.media-amazon.com/images/I/516tj+cSADL._AC_SX679_.jpg
Galaxy A70 SM-A705M; $185.162,00;GH82-19747A;81,99; $86.158,89; $166.645,80;47,50%; $154.300,00;"	GH82-20016A";104,91; $110.241,56; $138.870,00;72,93%; $51.149,12;GH82-19746A;23,85; $25.060,81; $46.034,21;50,02%; $82.700,00;GH96-12576A;39,37; $41.370,75; $74.430,00;51,07%; $30.500,00;GH97-23356A;19,33; $20.317,19; $27.450,00;68,00%; $14.600,00;GH96-12468A;6,60; $6.935,61; $13.140,00;48,49%; $4.200,00;GH81-16831A;3,99; $4.192,89; $17.100,00;GH96-12554A;8,12; $8.532,91; $15.390,00;50,94%;;;;;;;;;;;;;;;;;; ;;;https://geotechbonanza.com/assets/uploads/d52f228cf17b3bcbc7f0d1022507dab7.jpg
Galaxy A71 SM-A715F; $184.441,00;GH82-22152A;83,99; $88.256,92; $165.996,90;48,85%; $246.000,00;GH82-22289A;167,24; $175.744,01; $221.400,00;72,93%; $46.031,39;GH82-22153A;21,46; $22.553,35; $41.428,25;50,02%; $47.100,00;"GH96-12834A	";22,43; $23.568,47; $42.390,00;51,08%; $29.000,00;"GH97-25738A	";18,42; $19.360,17; $26.100,00;68,15%; $19.900,00;GH96-12851A;9,01; $9.471,54; $17.910,00;48,59%; $2.700,00;"GH02-20352A	";2,57; $2.700,69; $11.900,00;"	GH96-12918A";5,68; $5.968,83; $10.710,00;51,20%;;;;;;;;;;;;;;;;;; ;;;https://www.alemaniacell.com/uploads/imagen-principal15241-1-1606420474.jpg
